PID,StudentName,Score,CID,TeamID,Left-Handed,Position,Aisle,PriorityScore
518113739,Reatha Argueta,4,2,1,False,N/A,False,2 of 2
489252305,Sherlyn Robie,2,3,1,False,N/A,False,2 of 2
613534661,Christinia Sale,4,4,1,False,Front,False,3 of 3
419559331,Faith Walton,4,1,1,False,Front,False,3 of 3
926333854,Kayleigh Defrank,2,5,2,False,N/A,False,2 of 2
782590071,Shaniqua Lebrun,2,7,2,False,N/A,False,2 of 2
606966385,Pia Feggins,4,6,2,False,N/A,False,2 of 2
169100745,Gerry Piazza,2,8,2,False,N/A,True,2 of 2
726592608,Meg Vanpelt,2,10,3,False,N/A,False,2 of 2
637841769,Roslyn Tinajero,4,11,3,False,N/A,False,2 of 2
557852594,Benny Bitton,3,12,3,False,Back,False,2 of 3
514115117,Stefanie Jarvis,1,15,4,False,N/A,False,2 of 2
970974516,Hildegarde Kittle,2,16,4,False,N/A,True,1 of 2
461844247,Zackary Douthit,1,13,4,False,N/A,False,2 of 2
610671970,Lynda Ritz,3,18,5,False,N/A,False,2 of 2
191976078,Mellie Reinhart,2,20,5,False,N/A,False,2 of 2
841670020,Domingo Didomenico,2,17,5,False,Front,False,2 of 3
660452726,Leroy Radcliff,4,19,5,True,Front,False,1 of 3
226578401,Kristin Paramo,4,23,6,False,N/A,False,2 of 2
385460812,Rosaura Sypher,4,21,6,False,N/A,False,2 of 2
846244064,Bradford Flansburg,1,22,6,False,Back,False,2 of 3
457319833,Bennett Valverde,2,25,7,False,Back,False,2 of 3
207722782,Alba Holtkamp,1,28,7,False,Back,False,2 of 3
289392818,Buford Hadnot,1,26,7,False,Back,False,2 of 3
513604135,Kathleen Dambrosio,4,30,8,False,N/A,False,2 of 2
888788101,Dian Deeb,4,31,8,False,Front,False,2 of 3
301589216,Shaunda Laub,2,33,9,False,N/A,False,2 of 2
768081797,Tyrone Barrick,4,34,9,False,N/A,False,2 of 2
300152934,Petrina Peden,3,36,9,True,N/A,False,1 of 2
553038375,Luanne Ammons,2,35,9,False,N/A,False,2 of 2
728397745,Juliann Summers,4,38,10,False,N/A,False,2 of 2
812333498,Genoveva Baumbach,4,40,10,False,N/A,True,2 of 2
784825718,Charley Rhea,3,39,10,False,Front,False,2 of 3
211474102,Lashaunda Qualey,2,37,10,True,Back,False,1 of 3
760717672,Penelope Lucy,1,43,11,True,N/A,False,1 of 2
